,prix,Cheval,Carburant,Boite_a_vitesse,Modele,Kilometrage,Age
4120,71000,6,Diesel,Manuelle,Logan,250 000 - 299 999,10
4121,87000,7,Diesel,Manuelle,Logan,110 000 - 119 999,7
4122,52000,7,Essence,Manuelle,Logan,160 000 - 169 999,16
4123,45000,7,Essence,Manuelle,Logan,25 000 - 29 999,17
4124,50000,8,Essence,Manuelle,Logan,0 - 4 999,13
4125,90000,6,Diesel,Manuelle,Dokker,200 000 - 249 999,9
4126,67000,6,Diesel,Manuelle,Logan,0 - 4 999,11
4127,90000,7,Diesel,Manuelle,Dokker,200 000 - 249 999,9
4128,195000,6,Diesel,Automatique,Duster,20 000 - 24 999,3
4129,195000,6,Diesel,Automatique,Duster,20 000 - 24 999,3
4130,77000,7,Essence,Manuelle,Logan,130 000 - 139 999,6
4131,150000,6,Diesel,Manuelle,Dokker,200 000 - 249 999,7
4132,95000,6,Diesel,Manuelle,Dokker,160 000 - 169 999,7
4133,105000,6,Diesel,Manuelle,Duster,15 000 - 19 999,11
4134,60000,6,Diesel,Manuelle,Logan,140 000 - 149 999,14
4135,120000,4,Diesel,Manuelle,Dokker,150 000 - 159 999,7
4136,54000,6,Diesel,Manuelle,Logan,130 000 - 139 999,10
4137,98000,6,Diesel,Manuelle,Logan,5 000 - 9 999,5
4138,98000,5,Diesel,Manuelle,Logan,5 000 - 9 999,5
4139,68000,7,Essence,Manuelle,Logan,5 000 - 9 999,8
4140,39000,8,Diesel,Manuelle,Logan,5 000 - 9 999,16
4141,99000,6,Diesel,Manuelle,Logan,170 000 - 179 999,6
4142,110000,6,Diesel,Manuelle,Logan,15 000 - 19 999,2
4143,68000,6,Diesel,Manuelle,Logan,15 000 - 19 999,14
4144,108000,6,Diesel,Manuelle,Dokker,45 000 - 49 999,6
4145,169000,6,Diesel,Manuelle,Duster,5 000 - 9 999,5
4146,50000,6,Diesel,Manuelle,Logan,0 - 4 999,13
4147,60000,6,Diesel,Manuelle,Logan,20 000 - 24 999,12
4148,60000,6,Diesel,Manuelle,Logan,300 000 - 349 999,11
4149,50000,6,Essence,Manuelle,Logan,10 000 - 14 999,13
4150,93000,7,Diesel,Manuelle,Duster,15 000 - 19 999,12
4151,125000,6,Diesel,Manuelle,Duster,95 000 - 99 999,6
4152,125000,7,Diesel,Manuelle,Dokker,95 000 - 99 999,6
4153,50000,6,Diesel,Manuelle,Logan,5 000 - 9 999,16
4154,109000,6,Diesel,Manuelle,Dokker,15 000 - 19 999,6
4155,160000,7,Diesel,Manuelle,Duster,75 000 - 79 999,5
4156,77000,6,Diesel,Manuelle,Logan,0 - 4 999,9
4157,58000,6,Diesel,Manuelle,Logan,300 000 - 349 999,16
4158,90000,6,Diesel,Manuelle,Logan,95 000 - 99 999,5
4159,118000,6,Diesel,Manuelle,Logan,90 000 - 94 999,5
4160,160000,7,Diesel,Manuelle,Duster,140 000 - 149 999,4
4161,88000,6,Diesel,Manuelle,Dokker,160 000 - 169 999,9
4162,55000,6,Diesel,Manuelle,Logan,200 000 - 249 999,16
4163,100000,6,Essence,Manuelle,Logan,0 - 4 999,2
4164,98000,6,Diesel,Manuelle,Dokker,170 000 - 179 999,7
4165,122000,6,Diesel,Manuelle,Logan,45 000 - 49 999,4
4166,48000,8,Essence,Manuelle,Logan,0 - 4 999,16
4167,85000,6,Diesel,Manuelle,Logan,150 000 - 159 999,7
4168,62000,6,Diesel,Manuelle,Logan,150 000 - 159 999,17
4169,60050,7,Diesel,Manuelle,Logan,120 000 - 129 999,10
4170,160000,7,Diesel,Manuelle,Duster,90 000 - 94 999,5
4171,120000,6,Diesel,Manuelle,Logan,70 000 - 74 999,3
4172,101000,6,Diesel,Manuelle,Logan,75 000 - 79 999,4
4173,105000,6,Diesel,Manuelle,Duster,150 000 - 159 999,11
4174,130000,6,Diesel,Manuelle,Duster,170 000 - 179 999,6
4175,69000,6,Diesel,Manuelle,Logan,180 000 - 189 999,12
4176,55000,6,Diesel,Manuelle,Logan,200 000 - 249 999,17
4177,60000,6,Diesel,Manuelle,Logan,180 000 - 189 999,11
4178,59000,6,Diesel,Manuelle,Logan,180 000 - 189 999,11
4179,46000,8,Essence,Manuelle,Logan,0 - 4 999,16
4180,123000,6,Diesel,Manuelle,Duster,150 000 - 159 999,8
4181,125000,6,Diesel,Manuelle,Logan,30 000 - 34 999,3
4182,50000,7,Diesel,Manuelle,Logan,250 000 - 299 999,16
4183,47000,7,Essence,Manuelle,Logan,200 000 - 249 999,14
4184,67000,6,Diesel,Manuelle,Logan,190 000 - 199 999,14
4185,114000,6,Diesel,Manuelle,Duster,190 000 - 199 999,9
4186,90000,7,Essence,Manuelle,Logan,150 000 - 159 999,8
4187,92000,6,Diesel,Manuelle,Logan,160 000 - 169 999,9
4188,102000,6,Diesel,Manuelle,Logan,10 000 - 14 999,6
4189,50000,8,Essence,Automatique,Logan,0 - 4 999,15
4190,120000,4,Diesel,Manuelle,Dokker,55 000 - 59 999,2
4191,77000,4,Diesel,Manuelle,Logan,0 - 4 999,6
4192,88000,6,Diesel,Manuelle,Logan,65 000 - 69 999,8
4193,57000,7,Diesel,Manuelle,Logan,250 000 - 299 999,15
4194,125000,6,Diesel,Manuelle,Duster,110 000 - 119 999,8
4195,106000,6,Diesel,Automatique,Dokker,120 000 - 129 999,6
4196,44000,6,Diesel,Automatique,Logan,0 - 4 999,16
4197,105000,6,Diesel,Manuelle,Dokker,100 000 - 109 999,5
4198,68000,4,Diesel,Manuelle,Logan,200 000 - 249 999,12
4199,45000,8,Essence,Manuelle,Logan,5 000 - 9 999,16
4200,110000,6,Diesel,Manuelle,Dokker,130 000 - 139 999,9
